"(a", "b", "c""(38.5, 122.5)","(37, 128)","(34, 128)","(32, 126)","(41, 129)","(31, 119)","(39.0, 131.0)"
"(38.5, 122.5)","(37, 128)","(41, 100)","(42, 99)","(31, 119)","(41, 129)","(37.0, 131.0)"
"(161.5, 21.5)","(163, 15)","(159, 43)","(158, 44)","(168, 24)","(158, 14)","(160.0, 12.0)"
"(161.5, 21.5)","(163, 15)","(168, 21)","(168, 19)","(158, 14)","(168, 24)","(161.0, 43.0)"
"(38.5, 122.5)","(37, 128)","(33, 127)","(41, 100)","(31, 119)","(41, 129)","(35.0, 130.0)"
"(161.5, 21.5)","(163, 15)","(168, 21)","(168, 19)","(168, 24)","(158, 14)","(170.0, 19.0)"
"(161.5, 21.5)","(163, 15)","(168, 21)","(159, 43)","(168, 24)","(158, 14)","(170.0, 22.0)"
"(38.5, 122.5)","(37, 128)","(32, 122)","(32, 124)","(41, 129)","(31, 119)","(29.0, 121.0)"
"(38.5, 122.5)","(37, 128)","(32, 122)","(32, 124)","(41, 129)","(31, 119)","(39.0, 131.0)"
